temperature,tourists,price,promotion,rain,weekend,festival,sales
33.0,244.0,25.0,0.0,0.0,0.0,0.0,202.0
26.0,316.0,20.0,1.0,0.0,0.0,0.0,263.0
28.0,149.0,30.0,0.0,0.0,0.0,0.0,139.0
,125.0,30.0,0.0,0.0,0.0,0.0,133.0
25.0,88.0,20.0,,0.0,1.0,0.0,106.0
36.0,68.0,25.0,1.0,0.0,0.0,0.0,123.0
,80.0,30.0,0.0,,1.0,0.0,102.0
25.0,308.0,,0.0,0.0,1.0,0.0,217.0
25.0,155.0,25.0,1.0,0.0,0.0,0.0,
27.0,170.0,25.0,0.0,1.0,1.0,1.0,149.0
36.0,295.0,20.0,0.0,0.0,1.0,,278.0
29.0,99.0,20.0,1.0,0.0,1.0,0.0,164.0
33.0,235.0,20.0,1.0,1.0,,0.0,228.0
24.0,185.0,,0.0,0.0,0.0,0.0,112.0
32.0,,25.0,0.0,0.0,0.0,0.0,215.0
,283.0,25.0,0.0,0.0,0.0,0.0,209.0
25.0,92.0,25.0,1.0,0.0,0.0,0.0,129.0
30.0,293.0,20.0,1.0,0.0,0.0,0.0,259.0
27.0,136.0,25.0,0.0,0.0,0.0,0.0,112.0
27.0,63.0,20.0,0.0,0.0,0.0,0.0,93.0
35.0,251.0,25.0,0.0,1.0,0.0,0.0,164.0
,257.0,25.0,,0.0,0.0,0.0,203.0
33.0,278.0,25.0,0.0,0.0,0.0,0.0,237.0
31.0,291.0,20.0,1.0,0.0,0.0,0.0,268.0
33.0,217.0,25.0,0.0,0.0,0.0,0.0,182.0
26.0,261.0,25.0,1.0,0.0,0.0,1.0,301.0
27.0,239.0,25.0,1.0,1.0,0.0,0.0,177.0
35.0,,25.0,1.0,0.0,0.0,0.0,267.0
27.0,109.0,20.0,0.0,0.0,0.0,0.0,
,68.0,20.0,0.0,,1.0,0.0,
32.0,293.0,25.0,0.0,0.0,0.0,0.0,209.0
30.0,294.0,20.0,,0.0,1.0,1.0,307.0
33.0,174.0,30.0,1.0,0.0,0.0,0.0,200.0
31.0,131.0,25.0,1.0,0.0,1.0,0.0,222.0
30.0,,25.0,1.0,0.0,0.0,0.0,172.0
27.0,131.0,,1.0,0.0,1.0,0.0,198.0
33.0,141.0,20.0,0.0,0.0,0.0,,124.0
30.0,208.0,25.0,0.0,0.0,,0.0,199.0
36.0,200.0,30.0,1.0,0.0,1.0,0.0,293.0
30.0,298.0,30.0,0.0,1.0,0.0,0.0,169.0
35.0,121.0,25.0,,0.0,1.0,0.0,184.0
,267.0,25.0,1.0,0.0,0.0,0.0,250.0
25.0,,30.0,,0.0,0.0,,98.0
37.0,268.0,30.0,0.0,0.0,1.0,0.0,245.0
34.0,318.0,25.0,,0.0,1.0,0.0,274.0
27.0,,20.0,0.0,0.0,,1.0,238.0
28.0,319.0,25.0,0.0,0.0,0.0,0.0,225.0
27.0,,25.0,1.0,0.0,0.0,0.0,232.0
25.0,265.0,25.0,1.0,0.0,0.0,0.0,217.0
37.0,259.0,30.0,1.0,,0.0,0.0,280.0
24.0,89.0,30.0,0.0,1.0,1.0,1.0,136.0
29.0,84.0,25.0,0.0,1.0,0.0,0.0,
32.0,98.0,20.0,0.0,0.0,0.0,0.0,129.0
37.0,267.0,25.0,0.0,0.0,0.0,0.0,193.0
30.0,212.0,25.0,0.0,0.0,0.0,0.0,182.0
35.0,92.0,,,0.0,1.0,0.0,134.0
32.0,175.0,25.0,0.0,0.0,1.0,1.0,255.0
,171.0,30.0,0.0,0.0,0.0,,162.0
37.0,239.0,25.0,1.0,0.0,,0.0,278.0
25.0,261.0,20.0,1.0,0.0,,,207.0
24.0,173.0,,0.0,0.0,0.0,,146.0
27.0,132.0,25.0,,0.0,0.0,0.0,162.0
37.0,,25.0,0.0,0.0,1.0,0.0,120.0
25.0,285.0,25.0,0.0,0.0,0.0,0.0,209.0
27.0,90.0,25.0,0.0,,0.0,0.0,81.0
28.0,83.0,25.0,1.0,0.0,0.0,0.0,145.0
31.0,78.0,20.0,1.0,0.0,0.0,,177.0
37.0,120.0,25.0,1.0,0.0,0.0,1.0,280.0
30.0,171.0,20.0,0.0,1.0,1.0,0.0,159.0
36.0,183.0,25.0,1.0,1.0,1.0,0.0,199.0
25.0,79.0,25.0,0.0,0.0,1.0,0.0,95.0
28.0,,20.0,0.0,,1.0,0.0,174.0
36.0,213.0,25.0,1.0,0.0,0.0,,218.0
27.0,186.0,,0.0,0.0,0.0,0.0,
36.0,66.0,20.0,0.0,0.0,1.0,0.0,148.0
27.0,131.0,25.0,,0.0,0.0,0.0,162.0
31.0,153.0,25.0,1.0,0.0,1.0,0.0,214.0
30.0,70.0,25.0,0.0,1.0,0.0,0.0,48.0
32.0,308.0,25.0,0.0,0.0,0.0,0.0,
30.0,131.0,25.0,0.0,1.0,,0.0,86.0
37.0,234.0,30.0,0.0,1.0,1.0,0.0,181.0
36.0,,20.0,0.0,0.0,0.0,0.0,
36.0,102.0,25.0,0.0,0.0,0.0,0.0,127.0
28.0,294.0,25.0,0.0,0.0,0.0,0.0,
28.0,75.0,25.0,0.0,0.0,0.0,0.0,66.0
31.0,178.0,20.0,1.0,0.0,1.0,,205.0
24.0,319.0,25.0,1.0,0.0,,0.0,273.0
24.0,109.0,25.0,0.0,1.0,1.0,0.0,64.0
33.0,93.0,25.0,0.0,0.0,0.0,0.0,118.0
32.0,313.0,25.0,1.0,0.0,0.0,,
32.0,,30.0,1.0,0.0,0.0,0.0,269.0
28.0,123.0,20.0,0.0,1.0,0.0,1.0,168.0
34.0,86.0,25.0,0.0,0.0,0.0,0.0,100.0
34.0,313.0,25.0,0.0,0.0,1.0,0.0,283.0
37.0,203.0,25.0,0.0,0.0,0.0,0.0,165.0
37.0,,20.0,0.0,0.0,0.0,0.0,260.0
32.0,240.0,25.0,0.0,0.0,0.0,0.0,190.0
,105.0,25.0,0.0,0.0,,0.0,120.0
25.0,291.0,25.0,0.0,0.0,0.0,0.0,189.0
30.0,,25.0,0.0,0.0,0.0,1.0,276.0
32.0,202.0,20.0,1.0,0.0,0.0,0.0,240.0
31.0,273.0,30.0,0.0,0.0,0.0,0.0,188.0
34.0,273.0,30.0,0.0,0.0,0.0,0.0,198.0
36.0,68.0,25.0,0.0,0.0,1.0,0.0,144.0
36.0,213.0,25.0,,0.0,1.0,0.0,
33.0,,25.0,0.0,0.0,0.0,0.0,
34.0,316.0,25.0,0.0,0.0,1.0,0.0,274.0
35.0,154.0,20.0,1.0,,0.0,0.0,208.0
25.0,,,1.0,0.0,1.0,0.0,241.0
31.0,267.0,30.0,0.0,0.0,0.0,0.0,203.0
37.0,120.0,25.0,1.0,0.0,1.0,,221.0
36.0,288.0,20.0,0.0,0.0,0.0,0.0,236.0
35.0,161.0,25.0,0.0,0.0,0.0,0.0,169.0
25.0,239.0,20.0,1.0,0.0,0.0,0.0,190.0
31.0,201.0,,0.0,,0.0,0.0,138.0
33.0,215.0,30.0,,,,1.0,211.0
32.0,302.0,30.0,1.0,1.0,1.0,0.0,240.0
31.0,144.0,20.0,1.0,1.0,1.0,0.0,167.0
25.0,250.0,25.0,0.0,0.0,0.0,0.0,167.0
27.0,126.0,20.0,,0.0,0.0,0.0,148.0
25.0,272.0,25.0,1.0,1.0,,0.0,214.0
32.0,153.0,25.0,0.0,0.0,0.0,0.0,148.0
31.0,107.0,30.0,1.0,1.0,0.0,0.0,95.0
29.0,182.0,25.0,1.0,0.0,0.0,0.0,194.0
25.0,196.0,30.0,0.0,0.0,0.0,0.0,
26.0,235.0,20.0,1.0,0.0,0.0,0.0,236.0
29.0,274.0,25.0,1.0,,1.0,0.0,290.0
26.0,241.0,25.0,0.0,0.0,0.0,0.0,186.0
26.0,82.0,30.0,0.0,0.0,,1.0,175.0
37.0,252.0,30.0,1.0,0.0,0.0,0.0,269.0
33.0,208.0,20.0,0.0,0.0,1.0,0.0,222.0
27.0,213.0,20.0,1.0,0.0,0.0,,213.0
,,25.0,0.0,0.0,,0.0,91.0
35.0,247.0,25.0,1.0,0.0,1.0,0.0,261.0
30.0,140.0,25.0,0.0,0.0,0.0,0.0,161.0
31.0,129.0,25.0,0.0,0.0,0.0,0.0,131.0
33.0,,30.0,1.0,0.0,0.0,1.0,174.0
25.0,187.0,20.0,0.0,0.0,0.0,0.0,151.0
,66.0,,0.0,0.0,1.0,0.0,116.0
,180.0,25.0,0.0,,0.0,0.0,147.0
34.0,288.0,20.0,1.0,0.0,0.0,,274.0
36.0,220.0,20.0,0.0,0.0,0.0,1.0,283.0
32.0,173.0,25.0,0.0,0.0,1.0,0.0,175.0
35.0,197.0,,1.0,0.0,1.0,0.0,240.0
34.0,268.0,20.0,1.0,0.0,1.0,1.0,328.0
27.0,234.0,25.0,0.0,,1.0,1.0,242.0
37.0,81.0,30.0,1.0,0.0,1.0,0.0,161.0
34.0,80.0,30.0,0.0,1.0,1.0,0.0,73.0
34.0,313.0,25.0,0.0,0.0,,0.0,262.0
35.0,243.0,20.0,0.0,0.0,0.0,0.0,192.0
31.0,219.0,30.0,1.0,0.0,0.0,0.0,
33.0,223.0,25.0,1.0,0.0,,0.0,244.0
35.0,94.0,25.0,,0.0,1.0,,188.0
33.0,265.0,25.0,1.0,0.0,1.0,0.0,296.0
35.0,82.0,25.0,1.0,0.0,1.0,0.0,198.0
27.0,313.0,25.0,0.0,0.0,0.0,0.0,221.0
27.0,229.0,20.0,0.0,0.0,1.0,0.0,207.0
29.0,313.0,25.0,1.0,1.0,,0.0,246.0
35.0,83.0,20.0,0.0,1.0,1.0,0.0,99.0
30.0,184.0,25.0,1.0,0.0,,0.0,211.0
24.0,310.0,30.0,0.0,0.0,0.0,0.0,176.0
32.0,217.0,25.0,0.0,0.0,,0.0,163.0
31.0,258.0,,1.0,1.0,0.0,0.0,213.0
31.0,259.0,20.0,0.0,0.0,1.0,1.0,262.0
28.0,277.0,30.0,0.0,0.0,0.0,0.0,173.0
28.0,100.0,25.0,0.0,,0.0,,106.0
29.0,241.0,25.0,1.0,0.0,0.0,0.0,229.0
24.0,186.0,20.0,0.0,0.0,0.0,0.0,138.0
32.0,273.0,20.0,1.0,0.0,1.0,0.0,271.0
36.0,251.0,25.0,0.0,0.0,0.0,0.0,210.0
33.0,98.0,20.0,0.0,0.0,0.0,0.0,126.0
26.0,298.0,25.0,0.0,0.0,0.0,0.0,204.0
29.0,181.0,25.0,0.0,0.0,1.0,1.0,229.0
,298.0,25.0,0.0,0.0,0.0,0.0,199.0
29.0,316.0,,1.0,0.0,0.0,0.0,263.0
36.0,293.0,20.0,0.0,0.0,0.0,0.0,241.0
33.0,79.0,30.0,0.0,0.0,0.0,0.0,122.0
35.0,170.0,20.0,1.0,0.0,0.0,0.0,230.0
36.0,212.0,30.0,1.0,0.0,0.0,0.0,227.0
26.0,193.0,20.0,1.0,0.0,0.0,1.0,263.0
34.0,175.0,20.0,0.0,0.0,0.0,,145.0
,153.0,25.0,0.0,0.0,0.0,0.0,136.0
27.0,,25.0,1.0,0.0,0.0,0.0,198.0
24.0,291.0,25.0,0.0,0.0,1.0,0.0,215.0
27.0,318.0,25.0,0.0,0.0,0.0,0.0,214.0
31.0,223.0,30.0,1.0,1.0,1.0,,195.0
35.0,225.0,,1.0,0.0,0.0,0.0,229.0
31.0,124.0,25.0,1.0,0.0,0.0,0.0,
26.0,142.0,30.0,0.0,0.0,,0.0,
29.0,106.0,25.0,0.0,0.0,0.0,0.0,90.0
25.0,314.0,25.0,1.0,0.0,1.0,0.0,282.0
31.0,69.0,25.0,0.0,1.0,0.0,0.0,34.0
29.0,192.0,30.0,1.0,0.0,1.0,0.0,195.0
33.0,93.0,20.0,0.0,0.0,0.0,0.0,127.0
25.0,210.0,20.0,0.0,0.0,1.0,,252.0
34.0,292.0,25.0,0.0,0.0,0.0,,210.0
,,25.0,0.0,0.0,0.0,0.0,232.0
37.0,233.0,20.0,1.0,1.0,1.0,0.0,237.0
34.0,301.0,20.0,0.0,0.0,,0.0,240.0
32.0,226.0,25.0,0.0,0.0,0.0,0.0,159.0
29.0,290.0,30.0,0.0,1.0,0.0,0.0,152.0
24.0,262.0,25.0,0.0,0.0,0.0,0.0,
33.0,210.0,25.0,1.0,0.0,0.0,0.0,243.0
27.0,,25.0,0.0,0.0,1.0,0.0,226.0
27.0,183.0,25.0,1.0,0.0,0.0,0.0,169.0
27.0,238.0,25.0,1.0,0.0,0.0,0.0,252.0
25.0,87.0,20.0,0.0,0.0,0.0,0.0,112.0
31.0,307.0,25.0,0.0,0.0,1.0,0.0,
,257.0,25.0,0.0,0.0,1.0,0.0,230.0
,300.0,25.0,0.0,,0.0,0.0,207.0
25.0,280.0,25.0,,1.0,1.0,0.0,190.0
31.0,169.0,25.0,0.0,0.0,0.0,1.0,220.0
,,25.0,0.0,1.0,0.0,0.0,18.0
36.0,189.0,25.0,0.0,0.0,1.0,0.0,202.0
30.0,123.0,30.0,0.0,0.0,0.0,0.0,
29.0,154.0,30.0,,1.0,1.0,0.0,190.0
,297.0,20.0,0.0,0.0,1.0,0.0,275.0
32.0,74.0,30.0,0.0,0.0,0.0,0.0,83.0
33.0,225.0,20.0,,0.0,1.0,0.0,
28.0,301.0,,0.0,0.0,0.0,1.0,257.0
34.0,236.0,25.0,0.0,1.0,0.0,0.0,175.0
31.0,259.0,,1.0,0.0,1.0,,
32.0,99.0,25.0,0.0,0.0,1.0,0.0,125.0
29.0,161.0,,0.0,0.0,0.0,,149.0
33.0,193.0,30.0,1.0,0.0,1.0,0.0,224.0
26.0,300.0,20.0,0.0,0.0,,0.0,
28.0,173.0,25.0,,1.0,0.0,0.0,89.0
36.0,208.0,25.0,0.0,0.0,0.0,0.0,199.0
36.0,298.0,25.0,1.0,0.0,0.0,1.0,348.0
27.0,61.0,25.0,0.0,0.0,0.0,0.0,74.0
27.0,77.0,,1.0,0.0,0.0,0.0,110.0
25.0,89.0,25.0,0.0,0.0,0.0,1.0,167.0
31.0,167.0,30.0,0.0,1.0,0.0,0.0,107.0
36.0,82.0,30.0,1.0,1.0,0.0,0.0,105.0
37.0,107.0,20.0,1.0,0.0,0.0,1.0,241.0
32.0,271.0,25.0,0.0,1.0,1.0,,204.0
29.0,186.0,20.0,0.0,0.0,0.0,1.0,218.0
31.0,82.0,30.0,1.0,0.0,0.0,0.0,105.0
31.0,,25.0,0.0,0.0,1.0,0.0,127.0
31.0,123.0,25.0,0.0,0.0,0.0,0.0,122.0
36.0,131.0,20.0,,0.0,0.0,0.0,146.0
29.0,137.0,30.0,1.0,0.0,0.0,0.0,178.0
24.0,61.0,25.0,0.0,0.0,0.0,0.0,47.0
24.0,63.0,,,0.0,0.0,0.0,72.0
32.0,275.0,30.0,1.0,1.0,0.0,0.0,235.0
25.0,302.0,30.0,1.0,0.0,0.0,0.0,245.0
24.0,75.0,25.0,1.0,0.0,,0.0,124.0
28.0,219.0,,0.0,0.0,0.0,0.0,153.0
35.0,86.0,30.0,1.0,0.0,1.0,0.0,201.0
34.0,74.0,20.0,0.0,,1.0,1.0,183.0
29.0,287.0,25.0,,0.0,0.0,0.0,198.0
28.0,74.0,25.0,0.0,0.0,1.0,0.0,130.0
29.0,311.0,20.0,0.0,0.0,,0.0,227.0
24.0,71.0,25.0,0.0,1.0,1.0,0.0,34.0
31.0,130.0,20.0,0.0,0.0,0.0,0.0,120.0
25.0,287.0,25.0,1.0,0.0,0.0,0.0,206.0
,129.0,25.0,1.0,0.0,0.0,1.0,
34.0,171.0,30.0,0.0,0.0,1.0,1.0,228.0
26.0,228.0,25.0,1.0,0.0,0.0,0.0,210.0
,119.0,30.0,0.0,0.0,1.0,,152.0
34.0,119.0,20.0,0.0,0.0,1.0,,169.0
31.0,134.0,20.0,0.0,0.0,0.0,0.0,
27.0,259.0,,1.0,0.0,,0.0,202.0
34.0,296.0,25.0,0.0,1.0,1.0,0.0,217.0
30.0,84.0,,1.0,1.0,0.0,0.0,95.0
25.0,,25.0,1.0,0.0,0.0,0.0,180.0
32.0,215.0,20.0,1.0,0.0,,0.0,287.0
