Animal_Age_Group,Animal_Gender,ZMusic_Usage_Period,Z_Device,ZMusic_Plan,ZPremium_Willingness,Preferred_ZPremium,Preferred_ZContent,Fav_ZMusic_Genre,ZMusic_Time_Slot,Z_Mental_Health_Mood,ZMusic_Listening_Frequency,ZMusic_Discovery_Method,ZMusic_Recommendation_Rating,ZPodcast_Listening_Frequency,Fav_ZPodcast_Genre,Preferred_ZPodcast_Format,ZPodcast_Host_Preference,Preferred_ZPodcast_Duration,Z_Life_Satisfaction
12-20,Female,1 year to 2 years,Smart speakers or voice assistants,Free (ad-supported),No,None,Music,Pop,Night,Relaxation and stress relief,leisure time,Others,4.0,Once a week,Comedy,Story telling,Both,Shorter,Ok
20-35,Male,Less than 6 months,,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Rap,Night,"Relaxation and stress relief, Sadness or melancholy",Office hours,Others,4.0,Never,None,None,None,None,Ok
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time","recommendations, Playlists",4.0,Rarely,Lifestyle and Health,Story telling,Both,Shorter,Very Satisfied
20-35,Female,More than 2 years,"Smartphone, Wearable devices",Free (ad-supported),No,None,Music,Pop,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, While Traveling, leisure time","recommendations, Radio",3.0,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Satisfied
12-20,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,All,Morning,"Relaxation and stress relief, Uplifting and motivational","Workout session, leisure time",Playlists,5.0,Never,None,None,None,None,Ok
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,classical,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",Playlists,3.0,Rarely,Lifestyle and Health,Educational,Both,Shorter,Ok
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4.0,Once a week,Comedy,Story telling,None,None,Satisfied
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Pop,Morning,Relaxation and stress relief,"While Traveling, Workout session","recommendations, Playlists",4.0,Daily,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Male,More than 2 years,"Computer or laptop, Wearable devices",Premium (paid subscription),Yes,,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5.0,Never,None,None,None,None,Satisfied
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,None,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time",recommendations,4.0,Rarely,Sports,Conversational,Well known individuals,Both,Satisfied
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Uplifting and motivational,leisure time,Others,3.0,Never,None,None,None,None,Ok
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, leisure time",Others,3.0,Rarely,Sports,Story telling,Both,Shorter,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3.0,Rarely,Lifestyle and Health,Interview,Both,Shorter,Satisfied
12-20,Male,Less than 6 months,Computer or laptop,Free (ad-supported),No,None,Music,Rap,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3.0,Never,None,None,None,None,Ok
20-35,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,"recommendations, Others",3.0,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5.0,Several times a week,Comedy,Conversational,Both,Both,Very Satisfied
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational",Office hours,"recommendations, Playlists",4.0,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Playlists,4.0,Never,Food and cooking,Story telling,Both,Shorter,Ok
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,Relaxation and stress relief,leisure time,recommendations,5.0,Never,None,None,,None,Ok
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,"Office hours, While Traveling, Workout session",Playlists,5.0,Once a week,Lifestyle and Health,Interview,Both,Both,Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Electronic/Dance,Afternoon,Uplifting and motivational,While Traveling,Playlists,3.0,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,"recommendations, Playlists",5.0,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Very Satisfied
20-35,Female,Less than 6 months,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Melody,Morning,Social gatherings or parties,"Office hours, While Traveling, leisure time",Others,2.0,Rarely,Comedy,Conversational,Both,Both,Ok
12-20,Female,6 months to 1 year,Computer or laptop,Premium (paid subscription),No,None,Podcast,Melody,Afternoon,Uplifting and motivational,While Traveling,Radio,2.0,Daily,Health and Fitness,Interview,Well known individuals,Longer,Ok
20-35,Others,1 year to 2 years,Smart speakers or voice assistants,Premium (paid subscription),Yes,Student Plan-Rs 59/month,Podcast,Rap,Afternoon,"Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",Others,4.0,Once a week,Food and cooking,Story telling,Both,Longer,Satisfied
20-35,Female,More than 2 years,Wearable devices,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Night,,Study Hours,recommendations,2.0,Daily,Lifestyle and Health,Conversational,unknown Podcasters,Both,Very Satisfied
35-60,Male,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Pop,Afternoon,Social gatherings or parties,Workout session,Radio,5.0,Once a week,Comedy,Educational,None,Shorter,Ok
,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Melody,Afternoon,Sadness or melancholy,While Traveling,Radio,3.0,Several times a week,Health and Fitness,Story telling,Both,Longer,Very Satisfied
12-20,Female,1 year to 2 years,Computer or laptop,,Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Uplifting and motivational,Study Hours,Radio,3.0,Rarely,Lifestyle and Health,Conversational,unknown Podcasters,Longer,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,Relaxation and stress relief,leisure time,Others,4.0,Never,None,None,None,None,Ok
12-20,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Morning,Relaxation and stress relief,Study Hours,Radio,3.0,Once a week,Food and cooking,Story telling,Well known individuals,Shorter,Ok
35-60,Male,Less than 6 months,Smartphone,,No,None,Podcast,classical,Night,Relaxation and stress relief,leisure time,recommendations,4.0,Daily,Comedy,Conversational,Well known individuals,Shorter,Satisfied
12-20,Others,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Morning,Uplifting and motivational,While Traveling,Radio,3.0,Several times a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,,leisure time,Playlists,3.0,Several times a week,Comedy,None,Both,Shorter,Ok
20-35,Male,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Morning,Sadness or melancholy,While Traveling,Playlists,3.0,Several times a week,Sports,Interview,Both,Both,Very Satisfied
,Male,6 months to 1 year,Computer or laptop,Free (ad-supported),No,None,Podcast,Rap,Afternoon,,Study Hours,Others,3.0,Once a week,Sports,Conversational,unknown Podcasters,Both,Ok
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4.0,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Electronic/Dance,Night,Relaxation and stress relief,Office hours,Playlists,5.0,Several times a week,Comedy,Educational,Well known individuals,Both,Very Satisfied
35-60,Others,More than 2 years,Smart speakers or voice assistants,Free (ad-supported),No,None,Podcast,classical,Morning,Uplifting and motivational,While Traveling,recommendations,4.0,Once a week,Lifestyle and Health,Story telling,unknown Podcasters,Shorter,Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties",,"recommendations, Playlists, Others",5.0,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Female,Less than 6 months,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,classical,Night,Relaxation and stress relief,Office hours,Playlists,3.0,Never,Lifestyle and Health,None,Both,Longer,Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3.0,Never,None,None,None,,Ok
12-20,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",4.0,,Comedy,Conversational,Both,Shorter,Very Satisfied
20-35,Female,More than 2 years,"Smartphone, Wearable devices",Free (ad-supported),No,None,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time","recommendations, Playlists",3.0,Rarely,Food and cooking,Story telling,None,None,Ok
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Rap,Night,"Relaxation and stress relief, Uplifting and motivational",Office hours,Playlists,3.0,Rarely,Everything,Story telling,Well known individuals,Both,Ok
20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3.0,Never,Sports,None,,Shorter,Ok
20-35,Female,6 months to 1 year,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",recommendations,3.0,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5.0,Rarely,Comedy,Story telling,Well known individuals,Shorter,Satisfied
20-35,Female,More than 2 years,"Smartphone, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Social gatherings or parties",leisure time,recommendations,3.0,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",5.0,Never,None,Story telling,None,None,Very Satisfied
,,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4.0,Rarely,None,Story telling,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Pop,Afternoon,Relaxation and stress relief,Office hours,recommendations,4.0,,Lifestyle and Health,Educational,Well known individuals,Shorter,Satisfied
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,classical,Night,Relaxation and stress relief,leisure time,recommendations,4.0,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Melody,Morning,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists",3.0,Rarely,None,Interview,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Sadness or melancholy,leisure time,Playlists,4.0,Never,None,Educational,Both,Shorter,Satisfied
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Pop,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling",recommendations,4.0,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,,Free (ad-supported),No,None,Music,Melody,Night,,"Study Hours, While Traveling, Workout session, leisure time",Others,4.0,Rarely,None,Educational,Well known individuals,Shorter,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation and stress relief,leisure time,recommendations,3.0,Rarely,Comedy,Story telling,Well known individuals,Shorter,Ok
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Duo plan- Rs 149/month,Music,Pop,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",5.0,Rarely,Lifestyle and Health,Educational,Both,Shorter,Very Satisfied
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4.0,Several times a week,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational",While Traveling,"recommendations, Playlists",4.0,Rarely,None,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,5.0,,None,Interview,None,None,Ok
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Kpop,Night,Relaxation and stress relief,"Office hours, While Traveling, Workout session","recommendations, Playlists",5.0,Once a week,Comedy,Conversational,None,Shorter,Very Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",recommendations,4.0,Never,,None,None,None,Ok
20-35,Female,1 year to 2 years,Smartphone,,No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time",Playlists,4.0,Once a week,Health and Fitness,Conversational,Both,Shorter,Satisfied
20-35,,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,classical,Night,,leisure time,,1.0,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,,Premium (paid subscription),No,None,Music,All,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",2.0,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
